Peter Bjorn and John,"October 29, 2014 at 02:12PM",Young Folks,0.833125,"indie pop,swedish indie rock,chamber pop,indietronica,indie rock,alternative dance,new rave,indie folk,lo-fi,synthpop"
Gnarls Barkley,"October 29, 2014 at 02:16PM",Crazy,0.29409,"indie r&b,pop rap,hip hop"
Arctic Monkeys,"October 29, 2014 at 02:19PM",That's Where You're Wrong,0.883286,"sheffield indie,permanent wave,indie rock"
The Neighbourhood,"October 29, 2014 at 02:23PM",Baby Came Home,0.569669,"shimmer pop,shiver pop,indietronica"
Gorillaz,"October 29, 2014 at 02:28PM",Clint Eastwood,0.749996,"electronic,rap rock,alternative rock"
The Black Keys,"October 29, 2014 at 03:11PM",Brooklyn Bound,0.712042,"garage rock,punk blues,blues-rock,modern blues,indie rock"
Arctic Monkeys,"October 29, 2014 at 03:14PM",Why'd You Only Call Me When You're High?,0.36768,"sheffield indie,permanent wave,indie rock"
The Neighbourhood,"October 29, 2014 at 03:17PM",Float,0.878426,"shimmer pop,shiver pop,indietronica"
Franz Ferdinand,"October 29, 2014 at 03:21PM",You're the Reason I'm Leaving,0.932885,"dance-punk,indie rock,rock"
The Strokes,"October 29, 2014 at 03:24PM",The Modern Age,0.891991,"garage rock,indie rock,permanent wave"
Cage the Elephant,"October 29, 2014 at 03:28PM",Come a Little Closer,0.681982,"garage rock,punk blues,indie rock"
Grouplove,"October 29, 2014 at 03:32PM",Tongue Tied,0.937035,"shimmer pop,indietronica,indie pop,stomp and holler,indie folk,indie rock"
The Neighbourhood,"October 29, 2014 at 03:36PM",Everybody's Watching Me (Uh Oh),0.9437,"shimmer pop,shiver pop,indietronica"
The Last Shadow Puppets,"October 29, 2014 at 03:40PM",Calm Like You,0.747896,"sheffield indie,british indie rock,garage rock,indie rock,rock"
Matt & Kim,"October 29, 2014 at 03:42PM",Daylight,0.792862,"indie pop,indietronica,stomp pop,indie rock,alternative dance,dance-punk,synthpop"
Ratatat,"October 29, 2014 at 09:01PM",Gettysburg,0.645929,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Crystal Castles,"October 29, 2014 at 09:08PM",Magic Spells,0.691187,"new rave,alternative dance,electroclash,indietronica,nintendocore,synthpop,dance-punk,digital hardcore,electro house,chiptune,nu gaze"
